馬名,horse_id,枠,馬 番,race_id,date,rank,着 順,weighted_avg_rank,weighted_avg_run_style,weighted_avg_last_3f,weighted_avg_horse_weight,weighted_avg_odds,weighted_avg_weather,weighted_avg_weight_change,weighted_avg_interval,weighted_avg_speed,turf_compatibility,dirt_compatibility,good_condition_avg,heavy_condition_avg,distance_compatibility,is_rest_comeback,interval_category,is_consecutive,jockey_compatibility,race_class,is_graded,age_limit,age,course_type_code,distance_val,rotation_code,weather_code,condition_code,target_top3
アルザード,2020104032.0,8,10,202550120201,2025年12月2日,3.0,3,7.861851751096189,2.2157057737795913,42.60054692354868,509.1820645745148,100.0,1.2116704115805548,3.64760714795388,89.50391125410928,14.285034620078855,10.0,7.6,7.6,10.0,9.666666666666666,0,2,0,10.0,0,0,0,5.0,2,1400.0,1,1,1,1
アルティマソウル,2018100962.0,1,1,202536120202,2025年12月2日,9.0,9,8.668775122767231,2.6926836116348865,40.09837839080167,456.602103479531,100.0,1.153658194182557,-3.4970054943946556,21.458585930312083,15.640505220214186,10.0,8.6,8.6,10.0,8.6,0,1,1,8.25,0,0,0,7.0,2,1400.0,1,1,1,0
アルティメットサガ,2020106596.0,7,7,202548120510,2025年12月5日,3.0,3,3.4069977273487098,3.1576935563815933,37.63242921448151,450.3350749287978,100.0,1.524301505561726,2.1348791002969247,45.8198839463287,15.809460217767995,10.0,3.8,3.8,10.0,3.5,0,2,0,3.8,0,0,0,5.0,2,1500.0,1,1,1,1
アルディオール,2021101721.0,6,8,202548120507,2025年12月5日,4.0,4,5.832711926709827,3.2709619723955736,39.95395197878278,494.38917795617135,100.0,1.6156314181019247,2.2052188711042797,34.132715209277336,15.280945260563373,10.0,5.0,6.0,1.0,5.0,0,1,1,3.6666666666666665,0,0,0,4.0,2,1500.0,1,1,1,0
アルバノチエチャン,0.0,3,3,202565120103,2025年12月1日,6.0,6,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,0,0,2,2.0,0,1600.0,0,2,1,0
アルバミノル,2018104310.0,3,3,202547120104,2025年12月1日,6.0,6,10.486565805638481,2.0150046139359272,40.628772744715555,486.6957432179699,100.0,1.428655528777167,-5.7465511455172615,170.3417176276591,15.645470993435447,10.0,8.0,8.0,10.0,9.0,0,1,1,18.0,0,0,0,7.0,2,1400.0,1,1,1,0
アルファインディ,2020103535.0,1,1,202550120409,2025年12月4日,5.0,5,4.932945714181753,3.6886482494358495,40.08410671620327,450.0860152069242,100.0,1.6443613025567583,-1.5852913053276114,38.51060040958921,15.167381046858072,10.0,4.2,4.2,10.0,10.0,0,2,0,10.0,0,0,0,5.0,2,1400.0,1,1,1,0
アルファヒディ,2019105322.0,5,5,202548120412,2025年12月4日,1.0,1,12.431913813190379,2.6443613025567583,38.276723226265354,481.8357552934362,100.0,1.9733354923503297,0.454622339135836,128.81391362835348,16.052116138976412,16.0,10.5,11.6,10.0,11.5,0,3,0,10.0,0,0,0,6.0,2,2000.0,1,1,1,1
アルファベガ,2022106930.0,3,3,202548120405,2025年12月4日,3.0,3,7.627805598760804,2.740007279341317,42.14261002331205,437.89379164569846,100.0,1.6819950619433193,-0.057711695556680764,30.01321250130467,14.884595616875679,10.0,8.8,7.5,14.0,7.5,0,1,1,7.0,0,0,0,3.0,2,1400.0,1,2,1,1
アルフィー,2022102775.0,4,4,202546120104,2025年12月1日,7.0,7,7.0455662902961125,2.4176862770402763,41.59879301663548,444.90107972788576,100.0,1.571344471222833,-5.9377695245490445,30.95364148780099,14.930971303584228,10.0,6.0,6.0,10.0,6.0,0,2,0,7.0,0,0,0,3.0,2,1400.0,1,2,1,0
アレアラミア,2021106576.0,3,5,202544120210,2025年12月2日,2.0,2,3.425591510600307,3.0,39.26822941057359,458.4129240199125,100.0,1.9623662406134388,-2.4460852765926506,67.51472342216682,15.305393382294953,10.0,4.4,4.4,10.0,4.4,0,2,0,3.0,0,0,0,4.0,2,1800.0,1,2,1,1
アレクレア,2022104851.0,6,6,202546120106,2025年12月1日,2.0,2,2.877748654025223,2.6403259403577217,39.2496124584071,422.4755603009498,100.0,1.2533395331661523,0.05015410098347983,31.234197559402993,15.442866471239563,11.0,2.5,4.75,2.0,2.5,0,2,0,2.5,0,0,0,3.0,2,1500.0,1,2,1,1
アレグリーニ,2022104599.0,8,16,202544120112,2025年12月1日,11.0,11,7.145062318645674,3.1576935563815933,40.13215786026447,463.1681574767758,100.0,1.941987782602002,0.8877072430764777,40.49179750176782,15.474374934048196,10.0,5.6,5.6,10.0,6.0,0,2,0,3.6666666666666665,0,0,0,3.0,2,1800.0,1,1,1,0
アレグロヴィーヴォ,2019105998.0,6,6,202536120207,2025年12月2日,4.0,4,4.350545555413057,2.153658194182557,39.537811255701484,490.00904206842023,100.0,3.2279543689335033,-1.3613205409135956,30.607790095453886,15.82731592348544,10.0,4.0,4.25,3.0,4.0,0,1,1,3.25,0,0,0,6.0,2,1400.0,1,2,1,0
アレスエルピーダ,2021104541.0,7,10,202544120412,2025年12月4日,2.0,2,3.787638946442593,2.68864824943585,39.11940826504806,486.02466268114586,100.0,1.6443613025567583,4.213814843414787,73.95817127664786,15.567124174822,10.0,2.6,3.0,1.0,2.75,0,2,0,10.0,0,0,0,4.0,2,1650.0,2,1,1,1
アレスグート,2022101095.0,6,10,202544120111,2025年12月1日,2.0,2,10.850748620939058,2.27499733459461,38.538601348834696,458.45590873786693,100.0,1.5446799635731627,2.5311762566401286,111.22890791626016,16.10497574674757,10.0,9.2,8.75,11.0,7.75,0,3,0,10.0,0,0,0,3.0,2,1600.0,1,1,1,1
アレナトーレ,2022106349.0,3,3,202550120212,2025年12月2日,2.0,2,5.27057491797166,1.7400072793413173,38.80450022907185,425.7111621836792,100.0,1.1912919535691182,-0.6353826876642427,132.645693727837,15.699839533377682,10.0,7.8,7.8,10.0,2.0,1,4,0,2.0,0,0,0,3.0,2,820.0,1,1,1,1
アレピアード,2019101575.0,5,5,202536120103,2025年12月1日,6.0,6,6.421413639844468,2.9043540232154412,39.45940097728517,448.38519741736343,100.0,1.8423064436184067,-1.9059884831728193,20.32243740577347,15.477768981178334,10.0,8.0,8.0,10.0,8.0,0,1,1,3.0,0,0,0,6.0,2,1400.0,1,2,1,0
