日付,会場,レース番号,レース名,重賞,コースタイプ,距離,回り,天候,馬場状態,着 順,枠,馬 番,馬名,性齢,斤量,騎手,タイム,着差,人 気,単勝 オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),race_id,horse_id,past_1_date,past_1_rank,past_1_time,past_1_run_style,past_1_race_name,past_1_last_3f,past_1_horse_weight,past_1_jockey,past_1_condition,past_1_odds,past_1_weather,past_2_date,past_2_rank,past_2_time,past_2_run_style,past_2_race_name,past_2_last_3f,past_2_horse_weight,past_2_jockey,past_2_condition,past_2_odds,past_2_weather,past_3_date,past_3_rank,past_3_time,past_3_run_style,past_3_race_name,past_3_last_3f,past_3_horse_weight,past_3_jockey,past_3_condition,past_3_odds,past_3_weather,past_4_date,past_4_rank,past_4_time,past_4_run_style,past_4_race_name,past_4_last_3f,past_4_horse_weight,past_4_jockey,past_4_condition,past_4_odds,past_4_weather,past_5_date,past_5_rank,past_5_time,past_5_run_style,past_5_race_name,past_5_last_3f,past_5_horse_weight,past_5_jockey,past_5_condition,past_5_odds,past_5_weather,past_1_distance,past_1_course_type,past_2_distance,past_2_course_type,past_3_distance,past_3_course_type,past_4_distance,past_4_course_type,past_5_distance,past_5_course_type,コーナー 通過順,馬体重 (増減)
2025年1月25日,中山,8R,4歳以上1勝クラス,,,,,,,10,2,3,アオイコウキ,牡5,58.0,内田 博幸,1:56.5,１／２,13.0,0.0,38.1,,古賀 慎明,,202506010808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15151616.0,520(+8)
2025年1月25日,中山,8R,4歳以上1勝クラス,,,,,,,11,1,1,ラムゼイテソーロ,牡4,57.0,木幡 巧也,1:56.9,２ 1/2,8.0,0.0,40.1,,西田 雄一郎,,202506010808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323.0,538(+12)
2025年1月25日,中山,8R,4歳以上1勝クラス,,,,,,,12,1,2,ホウオウエニシ,牡5,58.0,丸田 恭介,1:57.1,３／４,14.0,0.0,39.3,,池上 昌和,,202506010808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10121213.0,478(-3)
2025年1月25日,中山,8R,4歳以上1勝クラス,,,,,,,13,3,6,ミランカ,牝4,55.0,柴田 大知,1:57.5,２ 1/2,15.0,0.0,40.0,,岩戸 孝樹,,202506010808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79911.0,470(-2)
2025年1月25日,中山,8R,4歳以上1勝クラス,,,,,,,14,4,7,トモジャシャトー,牡4,57.0,大野 拓弥,1:58.0,２ 1/2,12.0,0.0,41.2,,小笠 倫弘,,202506010808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422.0,484(+14)
2025年1月25日,中山,8R,4歳以上1勝クラス,,,,,,,15,8,16,ホウオウプレシャス,牡5,58.0,野中 悠太郎,1:58.1,１,16.0,0.0,40.7,,天間 昭一,,202506010808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55713.0,498(+6)
2025年1月25日,中山,8R,4歳以上1勝クラス,,,,,,,16,8,15,ロクシアス,牡4,57.0,菅原 明良,1:59.3,７,11.0,0.0,42.6,,国枝 栄,,202506010808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2223.0,496(-4)
2025年1月25日,中山,9R,東雲賞,,,,,,,1,6,6,ユキノロイヤル,牡4,57.0,石橋 脩,1:35.1,,1.0,0.0,34.3,,小野 次郎,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0,458(0)
2025年1月25日,中山,9R,東雲賞,,,,,,,2,3,3,ノーダブルディップ,牡7,58.0,三浦 皇成,1:35.2,３／４,7.0,0.0,34.3,,古賀 慎明,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0,562(+2)
2025年1月25日,中山,9R,東雲賞,,,,,,,3,7,7,ポッドテオ,牡4,57.0,R.キング,1:35.4,１ 1/4,3.0,0.0,34.5,,畠山 吉宏,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,476(+2)
