日付,会場,レース番号,レース名,重賞,コースタイプ,距離,回り,天候,馬場状態,着 順,枠,馬 番,馬名,性齢,斤量,騎手,タイム,着差,人 気,単勝 オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),race_id,horse_id,past_1_date,past_1_rank,past_1_time,past_1_run_style,past_1_race_name,past_1_last_3f,past_1_horse_weight,past_1_jockey,past_1_condition,past_1_odds,past_1_weather,past_2_date,past_2_rank,past_2_time,past_2_run_style,past_2_race_name,past_2_last_3f,past_2_horse_weight,past_2_jockey,past_2_condition,past_2_odds,past_2_weather,past_3_date,past_3_rank,past_3_time,past_3_run_style,past_3_race_name,past_3_last_3f,past_3_horse_weight,past_3_jockey,past_3_condition,past_3_odds,past_3_weather,past_4_date,past_4_rank,past_4_time,past_4_run_style,past_4_race_name,past_4_last_3f,past_4_horse_weight,past_4_jockey,past_4_condition,past_4_odds,past_4_weather,past_5_date,past_5_rank,past_5_time,past_5_run_style,past_5_race_name,past_5_last_3f,past_5_horse_weight,past_5_jockey,past_5_condition,past_5_odds,past_5_weather,past_1_distance,past_1_course_type,past_2_distance,past_2_course_type,past_3_distance,past_3_course_type,past_4_distance,past_4_course_type,past_5_distance,past_5_course_type,コーナー 通過順,馬体重 (増減)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,1,6,11,ピッツァナポリ,牝3,55.0,大野 拓弥,1:12.2,,1.0,0.0,37.7,,新開 幸一,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,460(+2)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,2,2,3,グリューネベルグ,牝3,55.0,丹内 祐次,1:12.7,３,6.0,0.0,37.4,,青木 孝文,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,444(0)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,3,7,13,ロッキンミー,牝3,52.0,▲佐藤 翔馬,1:13.0,２,11.0,0.0,38.1,,杉浦 宏昭,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,436(0)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,4,5,10,ルックアトミー,牝3,55.0,菊沢 一樹,1:13.1,１／２,2.0,0.0,38.0,,菊沢 隆徳,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,494(+6)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,5,6,12,ダイチラポール,牡3,54.0,▲長浜 鴻緒,1:13.4,２,3.0,0.0,38.7,,蛯名 利弘,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,476(+2)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,6,1,2,ジルクン,牡3,53.0,★小林 美駒,1:13.5,クビ,7.0,0.0,37.0,,鈴木 慎太郎,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.0,414(+8)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,7,4,8,セイリオス,牝3,55.0,杉原 誠人,1:13.7,１ 1/4,14.0,0.0,37.8,,宮田 敬介,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,472(+6)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,8,2,4,タッカーバリアント,牡3,57.0,戸崎 圭太,1:13.7,クビ,4.0,0.0,38.7,,田島 俊明,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,466(+4)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,9,4,7,コナベイション,牡3,57.0,横山 武史,1:13.8,１／２,5.0,0.0,39.0,,伊藤 圭三,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,460(-4)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,10,3,5,チャンピオンリボン,牝3,55.0,木幡 初也,1:14.0,１,13.0,0.0,38.2,,竹内 正洋,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,422(+8)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,11,1,1,ショウブダッシュ,牝3,52.0,▲石神 深道,1:14.2,１ 1/4,15.0,0.0,38.0,,青木 孝文,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.0,432(初出走)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,12,5,9,ビスケットマリー,牝3,55.0,柴田 大知,1:14.8,４,10.0,0.0,38.0,,和田 雄二,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.0,420(-6)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,13,8,16,カツノトゥウェルヴ,牝3,55.0,松岡 正海,1:15.0,１ 1/4,8.0,0.0,38.3,,伊藤 伸一,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.0,470(-10)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,14,7,14,ノアファースト,牡3,57.0,武藤 雅,1:15.0,ハナ,12.0,0.0,38.0,,小笠 倫弘,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.0,454(-10)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,15,3,6,ニシノティターニア,牝3,55.0,池添 謙一,1:15.2,１ 1/4,9.0,0.0,39.5,,上原 博之,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,424(-14)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,16,8,15,キャプティバ,牡3,57.0,黛 弘人,1:15.6,２ 1/2,16.0,0.0,39.3,,佐藤 吉勝,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.0,492(+6)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,1,3,6,フィーリウス,牡3,57.0,木幡 巧也,1:56.1,,3.0,0.0,38.7,,手塚 貴久,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131355.0,492(-6)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,2,6,12,ロンパイア,牡3,57.0,戸崎 圭太,1:56.1,アタマ,4.0,0.0,39.0,,尾関 知人,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111121.0,474(-2)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,3,1,2,ブレトワルダ,牡3,57.0,丹内 祐次,1:56.2,１／２,6.0,0.0,38.6,,新開 幸一,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5577.0,496(+2)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,4,7,14,プロスペクトパーク,牡3,57.0,横山 武史,1:56.5,１ 3/4,5.0,0.0,39.3,,高柳 瑞樹,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3322.0,504(+6)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,5,7,13,アイオリア,牡3,57.0,横山 和生,1:57.4,５,1.0,0.0,40.2,,奥村 武,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5522.0,520(+6)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,6,8,15,ルシード,牡3,57.0,野中 悠太郎,1:57.6,１ 1/4,7.0,0.0,40.2,,田島 俊明,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255.0,512(+10)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,7,4,8,ギンガエクスプレス,牡3,54.0,▲長浜 鴻緒,1:57.7,１／２,11.0,0.0,39.5,,加藤 士津八,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991110.0,532(+4)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,8,8,16,バレアリックシー,牡3,57.0,菊沢 一樹,1:57.7,アタマ,10.0,0.0,39.6,,菊沢 隆徳,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991010.0,480(+6)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,9,5,9,シリウスライト,牡3,57.0,石橋 脩,1:58.0,２,14.0,0.0,39.2,,和田 正一郎,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15151312.0,460(+2)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,10,2,4,ヴィジブルライト,牡3,57.0,T.マーカンド,1:58.0,ハナ,2.0,0.0,40.5,,和田 正一郎,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5577.0,486(0)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,11,6,11,クラウンジュエル,牡3,57.0,松岡 正海,1:58.1,クビ,13.0,0.0,39.3,,尾関 知人,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14141312.0,478(-2)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,12,3,5,アイスヴィレッジ,牡3,57.0,菅原 明良,1:58.2,１／２,8.0,0.0,41.1,,鈴木 慎太郎,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.0,490(-8)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,13,4,7,アタックスリー,牡3,57.0,柴田 大知,2:00.3,大差,16.0,0.0,42.0,,和田 雄二,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11111112.0,456(+2)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,14,1,1,レイラインシチー,牡3,57.0,佐々木 大輔,2:00.9,３ 1/2,9.0,0.0,43.4,,伊藤 圭三,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3379.0,466(+2)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,15,2,3,ブレイクバウンズ,牡3,57.0,伊藤 工真,2:01.1,１ 1/2,12.0,0.0,41.9,,林 徹,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551515.0,484(+2)
2025年1月5日,中山,2R,3歳未勝利,,,,,,,16,5,10,ジュンアベリアシノ,牡3,57.0,黛 弘人,2:09.4,大差,15.0,0.0,46.4,,伊坂 重信,,202506010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16161616.0,460(0)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,1,6,12,タマモトリノ,牡3,57.0,大野 拓弥,1:56.9,,5.0,0.0,38.4,,辻 哲英,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232.0,488(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,2,4,7,ホウオウサムレット,牡3,57.0,T.マーカンド,1:57.2,１ 3/4,1.0,0.0,38.9,,田中 博康,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7711.0,452(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,3,8,16,ヌンボラ,牝3,52.0,▲石神 深道,1:58.3,７,12.0,0.0,39.7,,深山 雅史,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335.0,466(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,4,8,15,フローラルデザイン,牝3,55.0,北村 宏司,1:58.6,１ 3/4,7.0,0.0,40.0,,畠山 吉宏,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4532.0,452(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,5,7,13,ジロラータ,牡3,57.0,吉田 豊,1:58.6,クビ,3.0,0.0,39.8,,久保田 貴士,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101065.0,472(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,6,2,3,モリノハーバー,牝3,51.0,★小林 美駒,1:58.8,１ 1/4,8.0,0.0,39.4,,鈴木 伸尋,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4598.0,484(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,7,2,4,ニシノジョバンニ,牡3,57.0,池添 謙一,1:58.9,３／４,9.0,0.0,40.6,,矢嶋 大樹,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141122.0,548(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,8,1,1,アズユーライク,牝3,55.0,戸崎 圭太,1:59.0,アタマ,2.0,0.0,39.9,,西園 翔太,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4377.0,466(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,9,6,11,ウィンターサン,牝3,55.0,佐々木 大輔,1:59.6,４,4.0,0.0,40.5,,加藤 征弘,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178.0,454(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,10,7,14,ヴァルトバーデン,牡3,57.0,宮崎 北斗,1:59.9,１ 3/4,13.0,0.0,40.1,,嘉藤 貴行,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12111110.0,484(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,11,5,9,ホロヨイマンゲツ,牡3,57.0,内田 博幸,2:00.6,４,15.0,0.0,41.1,,深山 雅史,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97910.0,500(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,12,3,5,ゴールドパートナー,牡3,57.0,横山 和生,2:01.1,３,6.0,0.0,39.7,,嘉藤 貴行,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10111414.0,470(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,13,5,10,スイープビクトリー,牡3,57.0,伊藤 工真,2:01.4,１ 3/4,14.0,0.0,39.7,,林 徹,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13151515.0,444(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,14,4,8,ブルーラジカル,牡3,57.0,野中 悠太郎,2:01.6,１,11.0,0.0,40.8,,菊川 正達,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14141313.0,466(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,15,1,2,オンクラウドナイン,牡3,57.0,藤岡 佑介,2:01.8,１ 1/4,10.0,0.0,38.6,,和田 正一郎,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16161616.0,520(初出走)
2025年1月5日,中山,3R,メイクデビュー中山,,,,,,,16,3,6,ニシノステディミキ,牝3,55.0,岩部 純二,2:04.2,大差,16.0,0.0,44.4,,加藤 和宏,,202506010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771112.0,466(初出走)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,1,1,1,ロードブレイズ,牡4,57.0,横山 和生,2:36.0,,2.0,0.0,39.1,,稲垣 幸雄,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333.0,506(+8)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,2,4,8,コスモジンバック,牡4,57.0,石橋 脩,2:36.0,クビ,6.0,0.0,39.3,,相沢 郁,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.0,484(0)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,3,4,7,トゥザヒロイン,牝6,56.0,大野 拓弥,2:36.8,５,10.0,0.0,39.5,,辻 哲英,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6554.0,540(+6)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,4,3,6,ジーティーアグリム,牝4,55.0,藤岡 佑介,2:36.9,１／２,15.0,0.0,40.1,,奥平 雅士,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222.0,544(+20)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,5,5,10,オウケンシルヴァー,牡4,57.0,原田 和真,2:36.9,アタマ,8.0,0.0,39.3,,松永 康利,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101087.0,500(0)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,6,2,3,トゥルース,牡5,58.0,菊沢 一樹,2:36.9,ハナ,13.0,0.0,39.1,,金成 貴史,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121299.0,516(+20)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,7,5,9,マコタイガ,牡4,57.0,吉田 豊,2:37.0,クビ,3.0,0.0,39.5,,小野 次郎,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6775.0,516(+4)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,8,3,5,シーリュウシー,牡4,57.0,横山 武史,2:37.3,２,1.0,0.0,39.5,,岡田 稲男,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212910.0,504(+4)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,9,2,4,ダノンペドロ,せん5,58.0,T.マーカンド,2:37.5,１ 1/4,5.0,0.0,40.5,,寺島 良,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4435.0,478(-6)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,10,7,13,パッカパッカブー,牡4,57.0,松岡 正海,2:37.9,２ 1/2,9.0,0.0,39.6,,堀内 岳志,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14141413.0,494(-2)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,11,7,14,アスプリージャ,牡4,57.0,丹内 祐次,2:38.0,１／２,7.0,0.0,40.8,,中舘 英二,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5557.0,480(-2)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,12,8,16,サトノレイズ,牡4,57.0,戸崎 圭太,2:38.3,２,4.0,0.0,40.5,,萩原 清,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67910.0,474(+20)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,13,1,2,ブレイヴアロウ,牡5,58.0,佐々木 大輔,2:38.5,１ 1/4,11.0,0.0,40.6,,辻 哲英,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010912.0,502(0)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,14,8,15,デリシュレーヌ,牝7,56.0,H.ドイル,2:38.8,１ 1/2,12.0,0.0,40.5,,高橋 文雅,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15151414.0,498(+10)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,15,6,11,トゥラムプラッツ,牡4,57.0,木幡 育也,2:39.6,５,16.0,0.0,40.4,,高橋 文雅,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16161616.0,490(+12)
2025年1月5日,中山,4R,4歳以上1勝クラス,,,,,,,16,6,12,オブシディアン,牡5,54.0,★小林 美駒,2:40.8,７,14.0,0.0,43.0,,武藤 善則,,202506010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67915.0,534(+6)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,1,3,6,フィールドノート,牡3,57.0,T.マーカンド,1:34.3,,3.0,0.0,34.0,,木村 哲也,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111.0,450(初出走)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,2,6,11,ルトンワージ,牡3,57.0,斎藤 新,1:34.4,１／２,2.0,0.0,34.3,,斎藤 誠,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8106.0,446(+4)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,3,3,5,エンゲルシュピール,牝3,55.0,横山 和生,1:34.6,１ 1/4,6.0,0.0,35.1,,田村 康仁,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,448(-4)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,4,2,3,ガジュノリホワイト,牡3,57.0,丹内 祐次,1:34.6,クビ,5.0,0.0,35.3,,尾形 和幸,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.0,454(-2)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,5,4,7,マイネルレクエルド,牡3,57.0,津村 明秀,1:35.1,３,8.0,0.0,35.3,,田島 俊明,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,472(+6)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,6,8,16,カーヌスティ,牡3,57.0,佐々木 大輔,1:35.3,３／４,4.0,0.0,35.7,,蛯名 正義,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,496(+24)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,7,5,10,エメラルドラグーン,牡3,57.0,岩部 純二,1:35.4,３／４,16.0,0.0,35.4,,伊藤 伸一,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.0,472(+2)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,8,2,4,ニシノコイネガイ,牝3,55.0,菊沢 一樹,1:35.4,ハナ,11.0,0.0,35.7,,伊坂 重信,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.0,432(+4)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,9,1,1,ニシノコイブミ,牝3,55.0,菅原 明良,1:35.4,ハナ,1.0,0.0,35.9,,西田 雄一郎,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.0,428(+6)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,10,6,12,シベリアンデネブ,牡3,57.0,松岡 正海,1:35.5,３／４,9.0,0.0,35.1,,水野 貴広,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91212.0,490(+6)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,11,4,8,キャピタルプレイン,牝3,55.0,横山 武史,1:35.7,１ 1/2,7.0,0.0,35.1,,千葉 直人,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131312.0,446(-2)
2025年1月5日,中山,5R,3歳未勝利,,,,,,,12,8,15,フレンドシルバー,牝3,52.0,▲佐藤 翔馬,1:35.9,１ 1/4,14.0,0.0,35.3,,南田 美知雄,,202506010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131314.0,460(+8)
